               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052057,            0.072629,            0.025637,              0.5935,             0.48393,             0.52842,             0.33107,            0.049006,            0.043815,            0.018742,              0.0937,              0.0007,              0.0007
                   1,             0.05139,            0.068881,             0.02734,             0.59153,             0.51114,             0.55367,             0.34835,            0.048064,            0.042998,            0.017158,            0.086203,            0.001203,            0.001203
                   2,            0.051921,            0.078047,            0.026114,              0.6285,             0.53428,              0.5923,              0.3725,             0.04745,            0.042239,            0.016249,            0.078389,           0.0013892,           0.0013892
                   3,            0.050958,            0.070826,            0.023607,             0.60524,             0.55909,             0.61062,             0.37878,            0.047347,            0.041804,            0.015321,            0.070259,           0.0012586,           0.0012586
                   4,            0.051331,             0.06974,            0.023366,             0.63878,             0.55544,             0.62042,             0.38564,             0.04705,            0.041498,            0.014693,            0.061811,           0.0008112,           0.0008112
