               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04545,            0.065377,            0.016455,             0.66959,             0.60324,             0.68542,             0.44959,            0.041352,            0.037879,            0.010597,              0.0937,              0.0007,              0.0007
                   1,            0.043839,            0.061797,            0.017264,             0.74181,              0.6256,             0.72194,             0.48273,            0.040477,            0.036809,           0.0092244,            0.086203,            0.001203,            0.001203
                   2,            0.044691,            0.070519,            0.016239,             0.76767,             0.64859,             0.74654,              0.4921,            0.039947,             0.03598,           0.0083339,            0.078389,           0.0013892,           0.0013892
                   3,            0.043827,             0.06276,            0.014196,              0.7955,             0.66101,             0.76251,             0.50897,            0.039643,            0.035596,           0.0077729,            0.070259,           0.0012586,           0.0012586
                   4,            0.044263,            0.062339,            0.014338,             0.81251,             0.65547,             0.76511,             0.52015,            0.039261,            0.035308,           0.0074065,            0.061811,           0.0008112,           0.0008112
